id,name,type,department,business_function,content,model,purpose,tools,team,trigger,kind,role,reports_to,owner_team,lead_role,nodes,used_by
t_apollo,Apollo.io,tool,,,Apollo.io — Sales intelligence and prospecting database used for lead enrichment and contact discovery.,,,,,,integration,,,,,,a_seo; a_outbound
t_asana,Asana,tool,,,"Asana — Work management tool used to track tasks, projects, and cross-team handoffs.",,,,,,integration,,,,,,a_specwriter; a_vendor; a_onboard
t_hubspot,HubSpot,tool,,,HubSpot — CRM and marketing automation platform of record for contacts and deals.,,,,,,integration,,,,,,a_outbound; a_dealdesk
t_slack,Slack,tool,,,Slack — Primary internal communication and notification surface for agents and humans.,,,,,,integration,,,,,,a_briefing; a_feedback; a_triage; a_vendor; a_orchestrator; a_metrics; a_onboard; a_dpa
t_gsc,Google Search Console,tool,,,Google Search Console — Search performance data source used by SEO agents to prioritize content.,,,,,,integration,,,,,,a_seo
t_stripe,Stripe,tool,,,Stripe — Payments and billing platform; source of revenue and subscription data.,,,,,,integration,,,,,,a_revrec
t_snowflake,Snowflake,tool,,,"Snowflake — Central data warehouse where product, finance, and marketing data are modeled.",,,,,,integration,,,,,,a_briefing; a_revrec; a_metrics
t_zendesk,Zendesk,tool,,,Zendesk — Customer support ticketing system and knowledge base.,,,,,,integration,,,,,,a_feedback; a_triage
t_github,GitHub,tool,,,GitHub — Source control and CI used by the engineering and automation teams.,,,,,,integration,,,,,,a_orchestrator
t_docusign,DocuSign,tool,,,DocuSign — E-signature platform used for contracts and compliance workflows.,,,,,,integration,,,,,,a_dealdesk; a_dpa
dept_strategy,Strategy & Leadership,department,dept_strategy,core,Strategy & Leadership department. Business function: core. Contains 1 team(s).,,,,,,,,,,,,
team_exec,Executive,team,dept_strategy,core,Executive team within Strategy & Leadership. Led by the Chief Executive Officer.,,,,,,,,,,Chief Executive Officer,,
p_team_exec_lead,Chief Executive Officer,person,dept_strategy,core,"Chief Executive Officer, leading the Executive team in Strategy & Leadership. Pseudonymous role node — no personal data stored.",,,,,,,Chief Executive Officer,p_ceo,,,,
p_team_exec_0,Chief of Staff,person,dept_strategy,core,Chief of Staff on the Executive team (Strategy & Leadership). Pseudonymous role node.,,,,,,,Chief of Staff,p_team_exec_lead,,,,
