source,target,rel_type,source_name,target_name
team_exec,dept_strategy,part_of,Executive,Strategy & Leadership
p_team_exec_lead,team_exec,member_of,Chief Executive Officer,Executive
p_team_exec_lead,p_ceo,reports_to,Chief Executive Officer,Chief Executive Officer
p_team_exec_0,team_exec,member_of,Chief of Staff,Executive
p_team_exec_0,p_team_exec_lead,reports_to,Chief of Staff,Chief Executive Officer
team_exec,sop_okr,owns,Executive,Quarterly OKR Planning SOP
a_briefing,team_exec,member_of,Exec Briefing Agent,Executive
a_briefing,t_slack,uses,Exec Briefing Agent,Slack
a_briefing,t_snowflake,uses,Exec Briefing Agent,Snowflake
a_briefing,sop_okr,follows,Exec Briefing Agent,Quarterly OKR Planning SOP
wf_weekly_review,a_briefing,part_of,Weekly Business Review Workflow,Exec Briefing Agent
wf_weekly_review,t_snowflake,part_of,Weekly Business Review Workflow,Snowflake
wf_weekly_review,t_slack,part_of,Weekly Business Review Workflow,Slack
team_core_product,dept_product,part_of,Core Product,Product Management
p_team_core_product_lead,team_core_product,member_of,Head of Product,Core Product
p_team_core_product_lead,p_ceo,reports_to,Head of Product,Chief Executive Officer
p_team_core_product_0,team_core_product,member_of,Senior Product Manager,Core Product
p_team_core_product_0,p_team_core_product_lead,reports_to,Senior Product Manager,Head of Product
p_team_core_product_1,team_core_product,member_of,Product Manager,Core Product
p_team_core_product_1,p_team_core_product_lead,reports_to,Product Manager,Head of Product
team_core_product,sop_discovery,owns,Core Product,Product Discovery SOP
a_feedback,team_core_product,member_of,Feedback Triage Agent,Core Product
a_feedback,t_zendesk,uses,Feedback Triage Agent,Zendesk
a_feedback,t_slack,uses,Feedback Triage Agent,Slack
a_feedback,sop_discovery,follows,Feedback Triage Agent,Product Discovery SOP
a_specwriter,team_core_product,member_of,Spec Drafting Agent,Core Product
a_specwriter,t_asana,uses,Spec Drafting Agent,Asana
a_specwriter,sop_discovery,follows,Spec Drafting Agent,Product Discovery SOP
wf_feedback,a_feedback,part_of,Feedback-to-Roadmap Workflow,Feedback Triage Agent
wf_feedback,t_zendesk,part_of,Feedback-to-Roadmap Workflow,Zendesk
wf_feedback,t_asana,part_of,Feedback-to-Roadmap Workflow,Asana
team_demandgen,dept_growth,part_of,Demand Gen,Marketing & Growth
p_team_demandgen_lead,team_demandgen,member_of,Head of Growth,Demand Gen
p_team_demandgen_lead,p_ceo,reports_to,Head of Growth,Chief Executive Officer
p_team_demandgen_0,team_demandgen,member_of,Growth Marketer,Demand Gen
p_team_demandgen_0,p_team_demandgen_lead,reports_to,Growth Marketer,Head of Growth
p_team_demandgen_1,team_demandgen,member_of,Lifecycle Marketer,Demand Gen
p_team_demandgen_1,p_team_demandgen_lead,reports_to,Lifecycle Marketer,Head of Growth
team_demandgen,sop_outbound,owns,Demand Gen,Outbound Sequence SOP
team_demandgen,sop_content,owns,Demand Gen,Content Production SOP
a_seo,team_demandgen,member_of,SEO Sub-Agent,Demand Gen
a_seo,t_gsc,uses,SEO Sub-Agent,Google Search Console
a_seo,t_apollo,uses,SEO Sub-Agent,Apollo.io
a_seo,sop_outbound,follows,SEO Sub-Agent,Outbound Sequence SOP
a_outbound,team_demandgen,member_of,Outbound Sequencer Agent,Demand Gen
a_outbound,t_apollo,uses,Outbound Sequencer Agent,Apollo.io
a_outbound,t_hubspot,uses,Outbound Sequencer Agent,HubSpot
a_outbound,sop_outbound,follows,Outbound Sequencer Agent,Outbound Sequence SOP
wf_lead,a_outbound,part_of,Lead Enrichment Workflow,Outbound Sequencer Agent
wf_lead,t_apollo,part_of,Lead Enrichment Workflow,Apollo.io
wf_lead,t_hubspot,part_of,Lead Enrichment Workflow,HubSpot
team_ae,dept_sales,part_of,Account Executives,Sales
p_team_ae_lead,team_ae,member_of,Head of Sales,Account Executives
p_team_ae_lead,p_ceo,reports_to,Head of Sales,Chief Executive Officer
p_team_ae_0,team_ae,member_of,Account Executive,Account Executives
p_team_ae_0,p_team_ae_lead,reports_to,Account Executive,Head of Sales
p_team_ae_1,team_ae,member_of,Sales Development Rep,Account Executives
p_team_ae_1,p_team_ae_lead,reports_to,Sales Development Rep,Head of Sales
team_ae,sop_dealdesk,owns,Account Executives,Deal Desk Approval SOP
a_dealdesk,team_ae,member_of,Deal Desk Agent,Account Executives
a_dealdesk,t_hubspot,uses,Deal Desk Agent,HubSpot
